ID,Tube,Trt,Time ,Type,Rep,Weight,Qubit.1,Qubit.2,Sample.Date,Extraction.Date,Notes,,,,,,,,,,
112,S_V2_Rhizo_11,Steamed ,V2,Rhizosphere,11,383.5,14.5,14.6,7/5/2023,9/14/2023,,,,,,,,,,,
113,S_V2_Rhizo_14,Steamed ,V2,Rhizosphere,14,663.5,46,45.8,7/5/2023,9/14/2023,,,,,,,,,,,
114,S_V2_Rhizo_18,Steamed ,V2,Rhizosphere,18,322.1,11.5,11.4,7/5/2023,9/14/2023,,,,,,,,,,,
115,S_V2_Rhizo_20,Steamed ,V2,Rhizosphere,20,254.7,14.3,14.2,7/5/2023,9/14/2023,,,,,,,,,,,
107,S_V2_Rhizo_3,Steamed ,V2,Rhizosphere,3,155.6,28.9,28.9,7/5/2023,9/14/2023,,,,,,,,,,,
108,S_V2_Rhizo_4,Steamed ,V2,Rhizosphere,4,395.7,29.7,29.3,7/5/2023,9/14/2023,,,,,,,,,,,
109,S_V2_Rhizo_7,Steamed ,V2,Rhizosphere,7,172,15.5,15.4,7/5/2023,9/14/2023,,,,,,,,,,,
110,S_V2_Rhizo_8,Steamed ,V2,Rhizosphere,8,516.8,25,24.9,7/5/2023,9/14/2023,,,,,,,,,,,
,PCRNC13,Negative Control,,Negative Control,,,,,,,,,,,,,,,,,
,PCRNC14,Negative Control,,Negative Control,,,,,,,,,,,,,,,,,
,PCRNC15,Negative Control,,Negative Control,,,,,,,,,,,,,,,,,
,PCRNC16,Negative Control,,Negative Control,,,,,,,,,,,,,,,,,
,PCRNC17,Negative Control,,Negative Control,,,,,,,,,,,,,,,,,
,PCRNC18,Negative Control,,Negative Control,,,,,,,,,,,,,,,,,
,PCRNC19,Negative Control,,Negative Control,,,,,,,,,,,,,,,,,
,PCRNC20,Negative Control,,Negative Control,,,,,,,,,,,,,,,,,
,PCRNC21,Negative Control,,Negative Control,,,,,,,,,,,,,,,,,
,PCRNC22,Negative Control,,Negative Control,,,,,,,,,,,,,,,,,
,Mock1,Positive Control,,Positive Control,,,,,,,,,,,,,,,,,
,Mock2,Positive Control,,Positive Control,,,,,,,,,,,,,,,,,
,Mock3,Positive Control,,Positive Control,,,,,,,,,,,,,,,,,
,Out1,Outgroup,,Outgroup,,,,,,,,,,,,,,,,,
,Out2,Outgroup,,Outgroup,,,,,,,,,,,,,,,,,
,Out3,Outgroup,,Outgroup,,,,,,,,,,,,,,,,,
