"","OTU","Kingdom","Phylum","Class","Order","Family","Genus","Species","Lowest_Taxonomic_Rank","Label"
"FOTU_1745","FOTU_1745","Fungi","Basidiomycota","Agaricomycetes","Russulales","Lachnocladiaceae","Dichostereum","orientale","Dichostereum_orientale","FOTU_1745_Dichostereum_orientale"
"FOTU_1746","FOTU_1746","Fungi","Basidiomycota","Atractiellomycetes","Atractiellales","Phleogenaceae","Bourdotigloea","unidentified","Bourdotigloea","FOTU_1746_Bourdotigloea"
"FOTU_1747","FOTU_1747","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","chlamydosporus","Aspergillus_chlamydosporus","FOTU_1747_Aspergillus_chlamydosporus"
"FOTU_1748","FOTU_1748","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Gibellulopsis","unidentified","Gibellulopsis","FOTU_1748_Gibellulopsis"
"FOTU_1749","FOTU_1749","Viridiplantae","Anthophyta","Eudicotyledonae","unidentified","unidentified","unidentified","unidentified","Eudicotyledonae","FOTU_1749_Eudicotyledonae"
"FOTU_1750","FOTU_1750","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_1750_unidentified"
"FOTU_1751","FOTU_1751","Fungi","Ascomycota","Sordariomycetes","Xylariales","Bartaliniaceae","Truncatella","angustata","Truncatella_angustata","FOTU_1751_Truncatella_angustata"
"FOTU_1752","FOTU_1752","Fungi","Kickxellomycota","GS19","GS19_ord_Incertae_sedis","GS19_fam_Incertae_sedis","GS19_gen_Incertae_sedis","unidentified","GS19_gen_Incertae_sedis","FOTU_1752_GS19_gen_Incertae_sedis"
"FOTU_1753","FOTU_1753","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","unidentified","unidentified","Chaetomiaceae","FOTU_1753_Chaetomiaceae"
"FOTU_1754","FOTU_1754","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_1754_unidentified"
"FOTU_1755","FOTU_1755","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Strophariaceae","Pholiota","adiposa","Pholiota_adiposa","FOTU_1755_Pholiota_adiposa"
"FOTU_1756","FOTU_1756","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","unidentified","FOTU_1756_unidentified"
